name,date,rows
"Perry, James",1756-1821.,0
"Perth, James Drummond, Lord",1744-1800.,0
"Philip, Alexander Philip Wilson",1770-1847.,0
"Picken, Ebenezer",1769-1816.,4
"Pinkerton, John",1758-1826.,5
"Pirie, Alexander",1737-1804.,2
"Pitcairn, Archibald",1652-1713.,1
"Pitcairn, William",1711-1791.,2
"Pitfour, James Ferguson, Lord",1700-1777.,0
"Playfair, John",1748-1819.,15
"Playfair, William",1759-1823.,1
"Prestongrange, William Grant, Lord",1701-1764.,0
"Primrose, John",1725-1755.,0
"Pringle, John, Sir",1707-1782.,0
"Purves, James",1734-1795.,2
"Queensberry, Charles Douglas, Duke of",1698-1778.,0
"Queensberry, James Douglas, Duke of",1662-1711.,0
"Queensberry, William Douglas, Duke of",1725-1810.,0
"Rae, Peter",1671-1749.,0
"Ramsay, Allan",1685-1758.,103
"Ramsay, Allan",1713-1784.,103
"Ramsay, Chevalier (Andrew Michael)",1686-1743.,0
"Reid, Thomas",1710-1796.,29
"Reinagle, Alexander",1756-1809.,0
"Rennie, George",1749-1828.,0
"Rennie, John",1761-1821.,13
"Renwick, James",1662-1688.,8
"Riccaltoun, Robert",1691-1769.,0
"Richardson, William",1743-1814.,5
"Ritchie, David",1763-1844.,9
"Robe, James",1688-1753.,2
"Robert II, King of Scotland",1316-1390.,0
"Roberts, John","1768-1803,",5
"Robertson, Abram",1751-1826.,0
"Robertson, Archibald","1765-1835,",2
"Robertson, James",1714-1795.,64
"Robertson, James",1717-1788.,64
"Robertson, William",1721-1793.,71
"Robertson, William",1740-1803.,71
"Robison, John",1739-1805.,7
"Roebuck, John",1718-1794.,0
"Rose, George",1744-1818.,1
"Rosebery, Archibald Primrose, Earl of",1664-1723.,0
"Rosebery, Niel Primrose, Earl of",1729-1814.,0
"Ross, Alexander",1591-1654.,17
"Ross, Alexander",1699-1784.,17
"Ross, David",1728-1790.,6
"Ross, John Lockhart, Sir",1721-1790.,0
"Ross, Walter",1738-1789.,2
"Rosslyn, Alexander Wedderburn, Earl of",1733-1805.,0
"Roy, William",1726-1790.,0
"Ruddiman, Walter",1687-1770.,0
"Ruglen, Anne Hamilton, Countess of",1698-1748.,0
"Russell, John",1710-1796.,23
"Russell, Patrick",1727-1805.,0
"Russell, William",1741-1793.,5
"Rutherford, Daniel",1749-1819.,0
"Saltoun of Abernethy, Alexander Fraser, Baron",1684-1748.,0
"Sandeman, Robert",1718-1771.,12
"Saunders, William",1743-1817.,0
"Scott, William",1750-1804.,62
"Selkirk, Dunbar Douglas, Earl of",1722-1799.,0
"Shanks, Alexander",1732-1799.,3
"Shaw-Stewart, John, Sir",1739-1812.,0
"Shenstone, William",1714-1763.,1
"Shirra, Robert",1724-1803.,3
"Short, James",1710-1768.,0
"Sibbald, J. (James)","1745-1803,",0
"Sibbald, Robert, Sir",1641-1722.,0
"Simson, Robert",1687-1768.,7
"Simson, Thomas",1696-1764.,0
"Sinclair, John, Sir",1754-1835.,0
"Skene, James",1775-1864.,4
"Skinner, John",1721-1807.,25
"Skinner, John",1744-1816.,25
"Small, Robert",1732-1808.,4
"Smellie, William",1697-1763.,3
"Smellie, William",1740-1795.,3
"Smith, Adam",1723-1790.,31
"Smith, John",1747-1807.,92
"Smith, William",1727-1803.,64
"Smollett, Tobias George",1721-1771.,0
"Smyth, James Carmichael",1741-1821.,0
"Somerville, Thomas",1741-1830.,7
"Spalding, John",1609-1670.,2
"Spence, Elizabeth Isabella",1768-1832.,0
"Spottiswood, James",1567-1645.,1
"Spottiswood, John",1565-1639.,4
"St. Clair, Arthur",1734-1818.,0
"Stair, John Dalrymple, Earl of",1648-1707.,0
"Stair, John Dalrymple, Earl of",1673-1747.,0
"Stair, John Dalrymple, Earl of",1720-1789.,0
"Steuart, David",1747-1824.,2
"Steuart, James, Sir",1712-1780.,0
"Stewart, Alexander",1764-1821.,51
"Stewart, Dugald",1753-1828.,35
"Stewart, Matthew",1717-1785.,5
"Stirling, James",1692-1770.,25
"Strange, Robert, Sir",1721-1792.,0
"Strathmore and Kinghorne, Thomas Lyon, Earl of",1704-1753.,0
"Stuart, Alexander",1673-1742.,1
"Stuart, Gilbert",1742-1786.,3
"Sutherland, Elizabeth Leveson-Gower, Duchess of",1765-1839.,0
"Sutherland, William Sutherland, Earl of",1708-1750.,0
"Sutherland, William Sutherland, Earl of",1735-1766.,0
"Swan, James",1754-1830.,0
"Tait, John",1748-1817.,3
"Tannahill, Robert",1774-1810.,52
"Tassie, James",1735-1799.,0
"Telford, Thomas",1757-1834.,13
"Tennent, John",1710-1748.,0
